book_id,wikipedia_url
1780,"https://en.wikipedia.org/wiki/Henry_IV,_Part_1"
1782,"https://en.wikipedia.org/wiki/Henry_IV,_Part_2"
1791,https://en.wikipedia.org/wiki/All%27s_Well_That_Ends_Well
1800,https://en.wikipedia.org/wiki/The_Winter%27s_Tale
1813,https://en.wikipedia.org/wiki/Un_homme_d%27affaires
1827,https://en.wikipedia.org/wiki/The_Life_of_Charlotte_Bront%C3%AB
1848,https://en.wikipedia.org/wiki/Montezuma%27s_Daughter
1880,"https://en.wikipedia.org/wiki/The_Pathfinder,_or_The_Inland_Sea"
1892,https://en.wikipedia.org/wiki/Extracts_from_Adam%27s_Diary
1905,"https://en.wikipedia.org/wiki/The_Governess%3B_or,_The_Little_Female_Academy"
1940,https://en.wikipedia.org/wiki/J%C3%A9sus-Christ_en_Flandre
1941,https://en.wikipedia.org/wiki/M%C3%A9moires_de_deux_jeunes_mari%C3%A9es
1942,https://en.wikipedia.org/wiki/C%C3%A9sar_Birotteau
1957,https://en.wikipedia.org/wiki/B%C3%A9atrix
1968,https://en.wikipedia.org/wiki/La_Com%C3%A9die_humaine
1977,https://en.wikipedia.org/wiki/Ph%C3%A8dre
1982,https://en.wikipedia.org/wiki/Rash%C5%8Dmon_(short_story)
1985,https://en.wikipedia.org/wiki/Men%27s_Wives
1997,https://en.wikipedia.org/wiki/Divine_Comedy
2048,"https://en.wikipedia.org/wiki/The_Sketch_Book_of_Geoffrey_Crayon,_Gent."
2052,"https://en.wikipedia.org/wiki/Every-body%27s_Business,_Is_No-body%27s_Business"
2078,https://en.wikipedia.org/wiki/Tha%C3%AFs_(novel)
2101,"https://en.wikipedia.org/wiki/History_of_Friedrich_II._of_Prussia,_Called_Frederick_the_Great"
2102,"https://en.wikipedia.org/wiki/History_of_Friedrich_II._of_Prussia,_Called_Frederick_the_Great"
2103,"https://en.wikipedia.org/wiki/History_of_Friedrich_II._of_Prussia,_Called_Frederick_the_Great"
2104,"https://en.wikipedia.org/wiki/History_of_Friedrich_II._of_Prussia,_Called_Frederick_the_Great"
2105,"https://en.wikipedia.org/wiki/History_of_Friedrich_II._of_Prussia,_Called_Frederick_the_Great"
2106,"https://en.wikipedia.org/wiki/History_of_Friedrich_II._of_Prussia,_Called_Frederick_the_Great"
2107,"https://en.wikipedia.org/wiki/History_of_Friedrich_II._of_Prussia,_Called_Frederick_the_Great"
2108,"https://en.wikipedia.org/wiki/History_of_Friedrich_II._of_Prussia,_Called_Frederick_the_Great"
2109,"https://en.wikipedia.org/wiki/History_of_Friedrich_II._of_Prussia,_Called_Frederick_the_Great"
2110,"https://en.wikipedia.org/wiki/History_of_Friedrich_II._of_Prussia,_Called_Frederick_the_Great"
2111,"https://en.wikipedia.org/wiki/History_of_Friedrich_II._of_Prussia,_Called_Frederick_the_Great"
2112,"https://en.wikipedia.org/wiki/History_of_Friedrich_II._of_Prussia,_Called_Frederick_the_Great"
